Date,Day,Temperature (°C),Min Temp (°C),Max Temp (°C),Precip Probability (%),Condition,Wind Speed (km/h),Full Date
4/12/2025,Saturday,27.5,25.5,29.5,0,Clear,13.4,12th April
4/13/2025,Sunday,26.5,24.5,28.5,0,Clear,13.4,13th April
4/14/2025,Monday,25.6,23.6,27.6,0,Clear,13.4,14th April
4/15/2025,Tuesday,25.7,23.7,27.7,0,Clear,13.4,15th April
4/16/2025,Wednesday,25.5,23.5,27.5,0,Clear,13.4,16th April
4/17/2025,Thursday,25.7,23.7,27.7,0,Clear,13.4,17th April
4/18/2025,Friday,25.5,23.5,27.5,0,Clear,13.4,18th April
